链路方向,带宽,月费(元),每M成本(元/M),备注
上海→日本,10M,1100,110,
上海→日本,20M,2200,110,
上海→日本,30M,3300,110,
上海→日本,50M,5500,110,
上海→日本,100M,11000,110,
上海→日本,200M,22000,110,
上海→日本,300M,33000,110,
上海→日本,500M,55000,110,
上海→日本,1G,110000,110,
上海→日本,2G,220000,110,
上海→日本,3G,330000,110,
上海→日本,5G,550000,110,
上海→日本,10G,1100000,110,
上海→美国,10M,1400,140,
上海→美国,20M,2800,140,
上海→美国,30M,4200,140,
上海→美国,50M,7000,140,
上海→美国,100M,14000,140,
上海→美国,200M,28000,140,
上海→美国,300M,42000,140,
上海→美国,500M,70000,140,
上海→美国,1G,140000,140,
上海→美国,2G,280000,140,
上海→美国,3G,420000,140,
上海→美国,5G,700000,140,
上海→美国,10G,1400000,140,
上海→欧洲,10M,2000,200,最贵
上海→欧洲,20M,4000,200,
上海→欧洲,30M,6000,200,
上海→欧洲,50M,10000,200,
上海→欧洲,100M,20000,200,
上海→欧洲,200M,40000,200,
上海→欧洲,300M,60000,200,
上海→欧洲,500M,100000,200,
上海→欧洲,1G,200000,200,
上海→欧洲,2G,400000,200,
上海→欧洲,3G,600000,200,
上海→欧洲,5G,1000000,200,
上海→欧洲,10G,2000000,200,
上海→香港,10M,600,60,最便宜
上海→香港,20M,1200,60,
上海→香港,30M,1800,60,
上海→香港,50M,3000,60,
上海→香港,100M,6000,60,
上海→香港,200M,12000,60,
上海→香港,300M,18000,60,
上海→香港,500M,30000,60,
上海→香港,1G,60000,60,
上海→香港,2G,120000,60,
上海→香港,3G,180000,60,
上海→香港,5G,300000,60,
上海→香港,10G,600000,60,
上海→新加坡,10M,1100,110,
上海→新加坡,20M,2200,110,
上海→新加坡,30M,3300,110,
上海→新加坡,50M,5500,110,
上海→新加坡,100M,11000,110,
上海→新加坡,200M,22000,110,
上海→新加坡,300M,33000,110,
上海→新加坡,500M,55000,110,
上海→新加坡,1G,110000,110,
上海→新加坡,2G,220000,110,
上海→新加坡,3G,330000,110,
上海→新加坡,5G,550000,110,
上海→新加坡,10G,1100000,110,
